playername,LPER,Difference_From_Top,Difference_From_Average,LPER_normalized,Z-score,Role_Mean,Role_Std,Z-Elo,Z-Elo_Positive
Chovy,3521,0,860.5194805194806,1.0,2.7914264822173074,2711.0461538461536,290.1576850809546,2791,4676
Peyz,3725,0,891.4512195121952,1.0,2.6276274501729993,2903.7571428571428,312.5415884541729,2628,4513
Nuguri,3202,-319,662.9124999999999,1.0,2.281987612285542,2528.5555555555557,295.11310263860327,2282,4167
Aiming,3583,-142,749.4512195121952,0.8960468521229868,2.1732879150655906,2903.7571428571428,312.5415884541729,2173,4058
Khan,3146,-375,606.9124999999999,0.953833470733718,2.092229856701989,2528.5555555555557,295.11310263860327,2092,3977
Zeka,3317,-204,656.5194805194806,0.8496683861459101,2.0883604926224306,2711.0461538461536,290.1576850809546,2088,3973
ShowMaker,3304,-217,643.5194805194806,0.8400884303610906,2.0435572677953058,2711.0461538461536,290.1576850809546,2044,3929
Gumayusi,3500,-225,666.4512195121952,0.835285505124451,1.9077232572211194,2903.7571428571428,312.5415884541729,1908,3793
Viper,3487,-238,653.4512195121952,0.8257686676427526,1.866128792739455,2903.7571428571428,312.5415884541729,1866,3751
Ruler,3451,-274,617.4512195121952,0.7994143484626647,1.7509441218671542,2903.7571428571428,312.5415884541729,1751,3636
Smeb,3041,-480,501.9124999999999,0.8672712283594394,1.7364340649828278,2528.5555555555557,295.11310263860327,1736,3621
Duke,3027,-494,487.9124999999999,0.8557295960428689,1.6889946260869395,2528.5555555555557,295.11310263860327,1689,3574
Doran,3024,-497,484.9124999999999,0.8532563891178895,1.6788290320378207,2528.5555555555557,295.11310263860327,1679,3564
Kiin,3005,-516,465.9124999999999,0.8375927452596867,1.614446936393401,2528.5555555555557,295.11310263860327,1614,3499
Zeus,3001,-520,461.9124999999999,0.8342951360263808,1.6008928109945757,2528.5555555555557,295.11310263860327,1601,3486
PawN,3171,-350,510.51948051948057,0.74207811348563,1.5851858137947243,2711.0461538461536,290.1576850809546,1585,3470
Faker,3168,-353,507.51948051948057,0.739867354458364,1.574846608065388,2711.0461538461536,290.1576850809546,1575,3460
Teddy,3395,-330,561.4512195121952,0.7584187408491947,1.5717679671769085,2903.7571428571428,312.5415884541729,1572,3457
Bdd,3160,-361,499.51948051948057,0.7339719970523213,1.5472753927871574,2711.0461538461536,290.1576850809546,1547,3432
Deft,3368,-357,534.4512195121952,0.7386530014641288,1.485379464022683,2903.7571428571428,312.5415884541729,1485,3370
